Olof Jönssons Gränd 5,59.3681263,17.849872,56
Kvarnhagsgatan 99,59.3658782,17.8470701,43
Ormängsgatan 77,59.3628957,17.8465346,85
Astrakangatan 2,59.366784,17.845453,133
Ormängsgatan 27,59.3646134,17.8407277,38
Enspännargatan 41,59.3702029,17.8374572,65
Friherregatan 39,59.3662362,17.8369192,60
Maltesholmsvägen 125,59.3625088,17.8368413,73
Gulddragargränd 22,59.3587015,17.8361083,58
Maltesholmsvägen 159,59.3601341,17.8348124,200
Maltesholmsvägen 141,59.3616532,17.8340173,100
Medsolsbacken 15,59.3616532,17.8340173,100
Persikogatan 20,59.3634304,17.833322,50
Persikogatan 52,59.3623695,17.8318644,128
Strandliden 30,59.3592314,17.8290893,43
